Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Churn,Predicted_Churn,Churn_Probability
11114-PUN,Male,51,No,Punjab,5,9,Deal 5,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.15000153,169.0500031,0.0,10,122.3700027,301.4200134,Churned,Competitor,Competitor had better devices,1,1,0.9181848826825775
11262-HAR,Female,73,Yes,Haryana,5,32,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.09999847,95.09999847,0.0,0,4.889999866,99.98999786,Churned,Price,Price too high,1,1,0.9959935683833351
11264-MAH,Female,27,Yes,Maharashtra,14,17,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4.0,24.79999924,0.0,0,0.0,24.79999924,Churned,Dissatisfaction,Product dissatisfaction,1,1,0.9807073459781648
11272-UTT,Female,65,No,Uttar Pradesh,0,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.84999847,256.6000061,0.0,0,133.0200043,389.6199951,Churned,Competitor,Competitor offered more data,1,1,0.9662690872002336
11290-JAM,Female,70,Yes,Jammu & Kashmir,0,36,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.44999695,396.1000061,0.0,0,126.4400024,522.539978,Churned,Competitor,Competitor made better offer,1,1,0.9002760776710431
11472-PUN,Female,33,No,Punjab,8,6,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.40000153,55.40000153,0.0,0,13.01000023,68.41000366,Churned,Competitor,Competitor had better devices,1,1,0.9944065139892089
11474-TEL,Male,59,Yes,Telangana,0,18,,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.59999847,661.5499878,0.0,0,189.9900055,851.539978,Stayed,Others,Others,0,1,0.5120965923307531
11510-KER,Female,46,No,Kerala,10,4,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.90000153,827.4500122,0.0,0,277.2000122,1104.650024,Stayed,Others,Others,0,1,0.5431609739735969
11540-DEL,Male,63,Yes,Delhi,15,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.0999985,5135.149902,0.0,0,2288.429932,7423.580078,Stayed,Others,Others,0,1,0.5439813654865384
11543-WES,Female,35,Yes,West Bengal,0,7,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.40000153,874.7999878,0.0,0,375.480011,1250.280029,Churned,Other,Deceased,1,1,0.5670998553973482
11679-PUN,Female,38,Yes,Punjab,13,35,Deal 4,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.69999695,973.25,0.0,0,373.6000061,1346.849976,Churned,Attitude,Attitude of support person,1,1,0.6454507563043088
11713-MAD,Female,22,Yes,Madhya Pradesh,4,5,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.59999847,74.59999847,0.0,10,22.15999985,106.7600021,Churned,Competitor,Competitor offered more data,1,1,0.9795029388531813
11751-UTT,Male,39,No,Uttar Pradesh,4,23,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5999985,1060.199951,0.0,0,452.1000061,1512.300049,Churned,Competitor,Competitor offered more data,1,1,0.791496427558815
11799-TAM,Male,33,No,Tamil Nadu,9,20,,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,45.29999924,45.29999924,0.0,0,0.0,45.29999924,Churned,Competitor,Competitor had better devices,1,1,0.9394545091170017
11814-GUJ,Female,45,Yes,Gujarat,12,9,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.5500031,6281.450195,0.0,0,2787.699951,9069.150391,Churned,Competitor,Competitor had better devices,1,1,0.7497740639684005
11878-RAJ,Male,75,Yes,Rajasthan,15,17,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.80000305,1167.800049,0.0,0,734.4000244,1902.199951,Churned,Competitor,Competitor offered more data,1,1,0.7374630146827696
11882-BIH,Female,74,No,Bihar,14,15,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.94999695,378.3999939,0.0,0,61.34999847,439.75,Churned,Attitude,Attitude of support person,1,1,0.9339028773442516
11906-MAD,Female,53,No,Madhya Pradesh,2,29,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.30000305,523.1500244,0.0,10,134.4700012,667.6199951,Churned,Competitor,Competitor had better devices,1,1,0.9167329826601857
11920-HAR,Female,61,Yes,Haryana,10,24,Deal 5,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.59999847,155.6499939,0.0,0,10.92000008,166.5700073,Churned,Competitor,Competitor offered higher download speeds,1,1,0.9007851326664696
11939-UTT,Male,65,Yes,Uttar Pradesh,5,5,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.44999695,583.4500122,0.0,0,215.9199982,799.3699951,Churned,Other,Don't know,1,1,0.7348818130063512
11952-TEL,Female,42,Yes,Telangana,0,4,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.59999847,1555.650024,0.0,0,303.8399963,1859.48999,Churned,Attitude,Attitude of service provider,1,1,0.6449384141703105
12069-UTT,Female,30,Yes,Uttar Pradesh,10,14,Deal 4,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.65000153,683.25,0.0,0,232.5399933,915.789978,Stayed,Others,Others,0,1,0.5926967351937938
12079-MAH,Female,73,Yes,Maharashtra,2,4,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.90000153,260.8999939,0.0,0,8.93999958,269.8399963,Churned,Price,Price too high,1,1,0.943873352152155
12149-JAM,Female,66,Yes,Jammu & Kashmir,7,26,Deal 5,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,453.75,0.0,0,184.3999939,638.1500244,Churned,Competitor,Competitor made better offer,1,1,0.7236689432327975
12236-BIH,Female,34,Yes,Bihar,5,11,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,85.30000305,420.4500122,0.0,10,228.6999969,659.1500244,Stayed,Others,Others,0,1,0.5705320872026182
12281-RAJ,Male,80,No,Rajasthan,14,25,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,78.09999847,864.8499756,0.0,0,194.2599945,1059.109985,Stayed,Others,Others,0,1,0.6184623054254125
12341-HAR,Female,38,No,Haryana,9,29,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.05000305,1799.300049,0.0,0,252.1199951,2051.419922,Stayed,Others,Others,0,1,0.8558966224864574
12345-TEL,Female,71,Yes,Telangana,9,34,,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.650024,48.09000015,0,412.1000061,1597.660034,Churned,Competitor,Competitor had better devices,1,1,0.8294649608799446
12370-JAM,Female,49,Yes,Jammu & Kashmir,2,29,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.94999695,381.2999878,0.0,0,16.55999947,397.8599854,Churned,Competitor,Competitor made better offer,1,1,0.9145524903683581
12443-AND,Female,48,Yes,Andhra Pradesh,15,9,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,-7.0,80.15000153,0.0,0,4.670000076,84.81999969,Churned,Attitude,Attitude of support person,1,1,0.9553874012476201
12505-GUJ,Male,29,No,Gujarat,0,7,,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,95.65000153,167.3000031,0.0,0,33.52000046,200.8200073,Churned,Dissatisfaction,Limited range of services,1,1,0.9556308773502958
12516-TAM,Female,25,Yes,Tamil Nadu,3,30,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.4000015,3143.649902,0.0,0,600.7800293,3744.429932,Stayed,Others,Others,0,1,0.679378460784546
12520-HAR,Female,25,Yes,Haryana,1,27,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.05000305,1862.900024,0.0,30,136.2899933,2029.189941,Stayed,Others,Others,0,1,0.6220629739602722
12528-JAM,Female,71,No,Jammu & Kashmir,14,21,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,573.75,0.0,0,287.3999939,861.1500244,Churned,Competitor,Competitor made better offer,1,1,0.8744081041552775
12545-ASS,Female,38,Yes,Assam,13,33,Deal 5,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.65000153,521.0999756,28.35000038,0,341.7399902,834.4899902,Churned,Competitor,Competitor made better offer,1,1,0.6463443128528454
12584-AND,Female,64,No,Andhra Pradesh,11,13,Deal 4,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.19999695,1046.5,0.0,0,322.0,1368.5,Stayed,Others,Others,0,1,0.8040899713202867
12660-KER,Female,58,No,Kerala,10,17,,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,25.10000038,712.8499756,0.0,0,0.0,712.8499756,Churned,Competitor,Competitor offered higher download speeds,1,1,0.5845803414110571
